SAMPLEID,PLOTID,geometry,centroid,long,lat
377255621,377255621,"POLYGON ((33.153713037494214 -12.945939574196077, 33.153713037494214 -12.945039860510844, 33.15463033022087 -12.945039860510844, 33.15463033022087 -12.945939574196077, 33.153713037494214 -12.945939574196077))",POINT (33.15417168385754 -12.94548970497841),33.15417168385754,-12.94548970497841
377327797,377327797,"POLYGON ((33.19682586103581 -12.935994969430126, 33.19682586103581 -12.935095255744896, 33.1977431171805 -12.935095255744896, 33.1977431171805 -12.935994969430126, 33.19682586103581 -12.935994969430126))",POINT (33.197284489108156 -12.935545100218466),33.197284489108156,-12.935545100218466
378003595,378003595,"POLYGON ((33.52150587202317 -13.070296726822638, 33.52150587202317 -13.069397013137412, 33.522423624788736 -13.069397013137412, 33.522423624788736 -13.070296726822638, 33.52150587202317 -13.070296726822638))",POINT (33.52196474840595 -13.069846857530308),33.52196474840595,-13.069846857530308
378115148,378115148,"POLYGON ((33.61552747543176 -12.975730559249351, 33.61552747543176 -12.97483084556412, 33.616444877929645 -12.97483084556412, 33.616444877929645 -12.975730559249351, 33.61552747543176 -12.975730559249351))",POINT (33.61598617668071 -12.975280690013703),33.61598617668071,-12.975280690013703
378548168,378548168,"POLYGON ((33.772471412454145 -13.208438994591146, 33.772471412454145 -13.207539280905921, 33.773389681870086 -13.207539280905921, 33.773389681870086 -13.208438994591146, 33.772471412454145 -13.208438994591146))",POINT (33.77293054716211 -13.207989125217239),33.77293054716211,-13.207989125217239
378515342,378515342,"POLYGON ((33.694243638074404 -13.381340969087907, 33.694243638074404 -13.380441255402685, 33.69516256249386 -13.380441255402685, 33.69516256249386 -13.381340969087907, 33.694243638074404 -13.381340969087907))",POINT (33.69470310028413 -13.380891099613772),33.69470310028413,-13.380891099613772
378069145,378069145,"POLYGON ((33.35530868863644 -13.650159620125109, 33.35530868863644 -13.649259906439896, 33.35622864993209 -13.649259906439896, 33.35622864993209 -13.650159620125109, 33.35530868863644 -13.650159620125109))",POINT (33.35576866928427 -13.649709750499524),33.35576866928427,-13.649709750499524
378915541,378915541,"POLYGON ((33.78469319124521 -13.750891060210508, 33.78469319124521 -13.749991346525297, 33.78561354690257 -13.749991346525297, 33.78561354690257 -13.750891060210508, 33.78469319124521 -13.750891060210508))",POINT (33.78515336907389 -13.750441190529486),33.78515336907389,-13.750441190529486
379092714,379092714,"POLYGON ((33.9399837552167 -13.584978573735645, 33.9399837552167 -13.58407886005043, 33.94090346302419 -13.58407886005043, 33.94090346302419 -13.584978573735645, 33.9399837552167 -13.584978573735645))",POINT (33.94044360912044 -13.58452870414629),33.94044360912044,-13.58452870414629
379092758,379092758,"POLYGON ((34.08065528628951 -13.181239116568282, 34.08065528628951 -13.18033940288306, 34.08157345351022 -13.18033940288306, 34.08157345351022 -13.181239116568282, 34.08065528628951 -13.181239116568282))",POINT (34.08111436989986 -13.180789247210331),34.08111436989986,-13.180789247210331
379283020,379283020,"POLYGON ((34.13661333211759 -13.320407629736128, 34.13661333211759 -13.319507916050908, 34.13753202464233 -13.319507916050908, 34.13753202464233 -13.320407629736128, 34.13661333211759 -13.320407629736128))",POINT (34.13707267837996 -13.319957760297061),34.13707267837996,-13.319957760297061
379565120,379565120,"POLYGON ((34.17619332810948 -13.650399836839958, 34.17619332810948 -13.649500123154745, 34.17711329034178 -13.649500123154745, 34.17711329034178 -13.650399836839958, 34.17619332810948 -13.650399836839958))",POINT (34.17665330922563 -13.649949967214214),34.17665330922563,-13.649949967214214
